sample_id,has_mrna,has_mirna,has_methy,has_cnv,has_label,modality_count,cancer_type
TCGA.3C.AAAU.01,True,True,True,True,True,4,GS-BRCA
TCGA.3C.AALI.01,True,True,True,True,True,4,GS-BRCA
TCGA.3C.AALJ.01,True,True,True,True,True,4,GS-BRCA
TCGA.3C.AALK.01,True,True,True,True,True,4,GS-BRCA
TCGA.5L.AAT0.01,True,True,True,True,True,4,GS-BRCA
TCGA.5T.A9QA.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SB.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SE.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SF.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SG.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SH.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SI.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SJ.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SK.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SO.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SP.01,True,True,True,True,True,4,GS-BRCA
TCGA.A1.A0SQ.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A04R.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0CK.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0CR.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0CT.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0EN.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0EP.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0EU.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0ST.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0SU.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0SV.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0SW.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0SX.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0SY.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0T0.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0T1.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0T2.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0T4.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0T5.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0T6.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0T7.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YC.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YD.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YF.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YG.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YH.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YI.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YK.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YL.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YM.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A0YT.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A1FV.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A1FW.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A1FX.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A1FZ.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A1G0.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A1G1.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A1G4.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A1G6.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A259.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A25A.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A25B.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A25C.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A25D.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A25E.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A25F.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A3KD.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A3XU.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A3XV.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A3XW.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A3XX.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A3XZ.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A3Y0.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A4S1.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A4S2.01,True,True,True,True,True,4,GS-BRCA
TCGA.A2.A4S3.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A0D9.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A13D.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A13E.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A13F.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A13G.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A26E.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A26F.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A26G.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A26H.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A26I.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A26J.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A2KD.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A3RF.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A425.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A4SD.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A4SE.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A56D.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A5ZV.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A5ZW.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A5ZX.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A6VV.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A6VW.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A6VX.01,True,True,True,True,True,4,GS-BRCA
TCGA.A7.A6VY.01,True,True,True,True,True,4,GS-BRCA
TCGA.A8.A075.01,True,True,True,True,True,4,GS-BRCA
TCGA.A8.A08O.01,True,True,True,True,True,4,GS-BRCA
TCGA.A8.A0A6.01,True,True,True,True,True,4,GS-BRCA
TCGA.A8.A0AD.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A23C.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A23E.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A23H.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2B8.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2BK.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2BM.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2FB.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2FF.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2FG.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2FK.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2FO.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A2QH.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A3HN.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A3OD.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A3QP.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A3QQ.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A3W5.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A3YI.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A3YJ.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A4ZE.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A5EH.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A5XS.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A5XU.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A62X.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A62Y.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A6IV.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A6IW.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A6IX.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A6NO.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A7VB.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A7VC.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A8OP.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A8OQ.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A8OR.01,True,True,True,True,True,4,GS-BRCA
TCGA.AC.A8OS.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XL.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XN.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XO.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XP.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XR.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XS.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XU.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XV.01,True,True,True,True,True,4,GS-BRCA
TCGA.AN.A0XW.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A03L.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A03M.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A03N.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A03U.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JA.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JB.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JC.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JD.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JE.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JF.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JG.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JI.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JJ.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A0JM.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A124.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A125.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A126.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A128.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A129.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A12B.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A12E.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A12G.01,True,True,True,True,True,4,GS-BRCA
TCGA.AO.A1KO.01,True,True,True,True,True,4,GS-BRCA
