,TCGA.3C.AALI.01,TCGA.A2.A0T7.01,TCGA.A2.A0YC.01,TCGA.A7.A13E.01,TCGA.A7.A6VV.01,TCGA.A7.A6VX.01,TCGA.AN.A0XP.01,TCGA.AO.A12G.01,TCGA.AR.A1AI.01,TCGA.AR.A1AR.01,TCGA.AR.A1AS.01,TCGA.AR.A24L.01,TCGA.AR.A24T.01,TCGA.B6.A0RM.01,TCGA.B6.A0X7.01,TCGA.B6.A1KF.01,TCGA.BH.A0DV.01,TCGA.BH.A0E0.01,TCGA.BH.A0E2.01,TCGA.BH.A0H0.01,TCGA.BH.A0HI.01,TCGA.BH.A0RX.01,TCGA.BH.A1F2.01,TCGA.BH.A202.01,TCGA.BH.A6R9.01,TCGA.C8.A1HO.01,TCGA.C8.A26X.01,TCGA.C8.A3M7.01,TCGA.D8.A1XZ.01,TCGA.D8.A1Y2.01,TCGA.D8.A27L.01,TCGA.E2.A1IF.01,TCGA.E2.A9RU.01,TCGA.E9.A1N5.01,TCGA.E9.A1R0.01,TCGA.E9.A1R7.01,TCGA.E9.A245.01,TCGA.E9.A5FK.01,TCGA.EW.A1IY.01,TCGA.EW.A1OZ.01,TCGA.EW.A6S9.01,TCGA.EW.A6SD.01,TCGA.HN.A2OB.01,TCGA.LL.A440.01,TCGA.OL.A66K.01,TCGA.PL.A8LV.01,TCGA.PL.A8LY.01,TCGA.S3.AA15.01,TCGA.WT.AB41.01,TCGA.Z7.A8R5.01
WDR46,0.851929389162764,-0.400604855936176,-0.625360927889167,1.59635818285195,-1.45904565279905,-0.101104512792123,0.0654996662413504,-0.312345022416174,-0.223529966280455,0.396442110875876,0.0325537982258474,-0.161911555814026,0.512046580639546,-2.1681873829596,-0.873192097981655,2.42545747309028,-0.0232292805455594,-0.0382579069897966,-1.79119633458567,-1.20899681279123,-0.589714405419238,0.622296624201279,-0.234686852003686,0.949627032323015,0.93664526286494,-1.71432315755931,-0.191016108894249,0.751663362078347,-0.592458560841174,0.0259814545879487,-0.356285639075984,-0.139188578548364,2.20369700927944,0.7820048773578,-0.258923467973312,-0.211611128834532,-0.917460119430309,0.987008527463507,0.207141954761333,1.57291423278161,-0.357421688592448,0.121907932570926,-0.689582638410119,0.352255410171633,0.786079280106844,0.295157696655998,-0.104405508231079,0.78232672376888,1.42787723494638,0.608646911866939
GFM1,-0.280658167881144,0.847753512985137,2.40155145428965,1.99917101679618,-0.621511880119788,1.99683053469438,-0.583775527707831,1.37264634321502,-0.661439742290405,-0.716183099320217,-0.742670076067993,-0.705643671093046,-0.643203085300157,-0.502425158475471,-0.714417573931291,1.01630363885803,-0.506876770151404,-0.757370880949965,-0.495363821029591,1.43862204498167,-0.46963246716517,-0.607099378865777,2.06122359387416,-0.644936053467018,0.987338171791033,2.39488662676043,1.36635055878899,1.34334722290376,-0.777074776905291,-0.651317080843975,-0.0469345946685213,-0.62585222632505,1.76163911583652,1.899702029908,-0.48093500852669,-0.631579568993247,-0.622485574900155,0.734577592224719,0.718730962699921,0.0401135796973915,-0.554129430775773,-0.652312719783334,-0.171757216681934,-0.552246697632102,-0.721972303069038,-0.673336383153468,-0.751225559786313,-0.501627388874051,-0.574115113758413,-0.454719610013753
EPHA2,-0.429196382189814,-0.689320281303581,-0.185078704409071,-1.45879127484123,-0.86065501662645,0.759958252591662,0.921336308836609,-0.76024355093581,0.349712569934403,0.0002083514196671,-1.28485813473827,0.0912636850532923,0.433288050526746,-0.623504156479048,-0.362159130903834,-1.84523290787952,0.0344766852398066,-0.621873710336726,-0.0913931080239651,-0.810275399469316,-0.122889305902498,0.924411223357608,-1.03409114653434,0.326798084977973,0.128819062361064,-0.026935640430333,2.06370724743342,-0.255010448329375,-0.0951797584850707,0.0764255911452099,-0.305629313349126,-0.373493742464473,0.955577991795286,1.98792228186174,0.0595674186806917,1.40302586098387,-0.88066288974579,0.760544803754011,0.344874848566359,-0.683270848377006,-0.490940542528405,-0.262596942765251,-0.853072757089803,-0.311803004019832,-0.148303814421238,-0.731075149854741,-1.08105428516664,0.234455384445026,0.789956057828468,0.102937802350115
TRPM7,0.489891108320526,-0.0783642699328575,-0.58441063339659,-0.310660038151939,-0.643309863408077,-0.336626834183219,0.377413144251457,-0.240032661414169,-0.532655001153475,-0.539988402827748,-0.518113674121383,1.4425919380354,0.336566335179075,-0.0015503669986509,-0.583413632407851,-0.441781506006032,0.0851317899521143,-0.312179566671466,-0.370966423088845,-0.524752558897721,-0.697309740261844,-0.790490516700782,-0.347672372643453,-0.481904897964073,-0.246157215929363,-0.134555617439849,0.36912140430118,0.0550994386314036,0.812465270888096,-0.721947973497244,-0.0163045245188955,-0.0352580400055294,0.540180139296939,0.152111744765952,0.162233154028227,-0.0164813628614904,0.266347022719681,-0.686528854202095,0.217269961287538,0.15014285902903,0.196731556965044,-0.427860759081495,-1.12588598353813,-0.444781513059771,-0.617243522186955,-0.752405340339956,-1.02572804779096,0.481451196266875,0.751672560338607,0.708913657439766
PTH2,0.299656514002539,-1.26424394333428,-0.709277028126455,0.236170782214943,-0.434915900044538,-0.262389834711704,-0.546919775582641,-0.599996405185747,-1.36648109132418,-0.575999591616479,-0.610858397440728,-1.04193957674045,0.785757746672556,-1.83094855954586,-0.223639991999652,-0.28599715464026,-0.596560318838839,-1.3998954419257,0.0281909625505852,-0.970028557199039,0.0458935458801944,-0.635488060844147,0.433217660588461,-0.339739812726782,-1.32314653277268,1.85275187705092,0.676181356115603,0.781723633250492,-1.32291823324051,-0.704092719077796,-0.72368859443682,-1.19049336068091,2.19700180575291,0.0492782293387206,-0.144790614600872,0.823808729464362,-1.29309002213612,0.8821892916274,-1.20707619347088,1.48883835332393,1.65126530140787,-0.0411832464367005,-0.316708706546404,-0.47222479128985,0.255885783806414,1.16866257681861,-1.29283651659954,-0.84494420939139,-0.388663399085802,0.34299040976081
TFAM,3.12623217184558,-0.0785672742012995,0.197440468693549,-2.00752922484501,0.913071972602194,0.11796583992184,-1.05047837196777,-0.574948838868962,-0.152089504516926,0.283229168038787,0.146200357415799,-0.214596814207058,-0.891712482396722,1.17176166112085,-0.508630816435562,-0.480591647824902,-0.304471108589796,0.897903277986346,0.35195676308897,0.288811019628579,0.837998279576047,0.552602096496131,-0.706523829205282,0.0462005227523916,1.10603200843337,-1.11717952252905,-0.905121314317515,-0.482878435681256,-0.613777666097783,-0.886784882511887,0.0754813209302311,-0.956803127065492,3.53630205343927,-0.720304748022311,-0.677730202534376,-1.2648458681342,0.586228258830469,0.644929423662766,0.615423833317238,0.0561225702625914,-0.366134325256394,1.299319940132,0.247962169052664,-0.456673782064721,-0.839684423932956,-1.03277423991482,-0.879634653984373,2.97492169775334,1.83206544884466,3.16264043743037
PLXDC2,-0.0993621468497166,-0.475207280203713,-0.426514647331673,-0.557471709138173,-0.181204724047705,-0.330949762294665,-0.544692646381984,-0.477987746728724,-0.0106282033762998,-0.343322072949442,-0.401614329803357,-0.249129297342764,-0.128237554192425,-0.492545414810477,-0.495304555614817,-0.53460085859726,-0.289635693784391,-0.519813042985399,-0.38546741617813,-0.319939708151994,-0.339725588370669,0.237676504277865,-0.29078818493205,-0.399426819418015,-0.404016261342829,-0.410385807261602,0.0176984489022216,0.0136242610176683,-0.0072277633569356,-0.204258399735722,-0.034070844120708,-0.245479286334619,8.06674644661299,-0.0525416262934246,-0.0535474407817428,-0.243022285618898,-0.244814608994596,0.505744324237195,-0.102973934926529,1.8660143100619,-0.26989542102027,-0.181690846343586,-0.419041125522168,-0.226984260996691,-0.484548392152183,-0.17646153775442,-0.262784619663361,0.96485630146103,0.0282881637513417,-0.105971635363815
GRIP1,0.605721258904044,0.726109644975254,0.654110944547813,-1.23118563290072,-0.92953764387888,0.696602297512846,0.705333298555961,0.807625285096653,-0.928985282009522,0.579431561080234,0.711204448643517,0.275515041558249,0.573293441253,0.632608041814679,0.705399842594044,0.777716697122481,0.2812064137764,0.609950206584302,0.421009405393093,0.536984442722312,0.463646990376363,0.0783591212531266,0.369287469950125,0.675982193152359,0.594293906122248,0.925658707599613,-0.80521232357454,0.0869925846680213,-1.89998630281031,-1.15505928083796,0.48447360946183,-1.1743580849209,0.557760733323536,0.436997058098368,-2.97921575605594,0.142232709609158,-0.449462213054421,-0.0036974089107914,0.625258133527588,0.58428215218024,-0.909219551680684,0.157215325604114,-0.131732044639044,0.170465008941228,-0.0372624356083896,0.600753863234146,-0.864667155307443,-0.916445538189467,0.289035136749364,0.494411933519195
KRTAP20.4,0.53889463905552,0.306104952470495,0.152371099573376,-1.28457920027647,-1.65796867291578,-0.312218583160264,-0.861259281675555,-1.13562528548012,-0.150139279164733,1.28437189516956,0.317697018241969,0.250338442039002,1.25849588433353,0.157701428037882,0.400373771813519,0.961725590698117,0.467072728661987,1.24544877579543,-0.21388554622793,0.696990679140347,0.738786482615672,1.15969796485604,-1.13001580607506,1.15064295050289,1.16821482853026,1.16129515576081,-0.0418436413019477,0.672716153678838,-1.27628571543361,-0.103410087849158,0.200727903845197,0.134863262466911,0.995240761024394,-0.267381385758688,0.336503517670047,-1.18980404629899,-0.741870794044548,0.872959962386,0.415636223159412,-1.78493097134949,-0.93924503816206,-0.689081585576347,-0.0210438795463183,0.854093858730721,0.244253187814937,1.26076346149152,0.847732100319267,0.967052885381891,0.400089672767667,1.05521165001236
NUP88,0.372750315204959,-0.399678423996435,-0.0452190161707724,-0.137808981186415,-0.107245117804774,-0.214982340298514,1.31364060250093,-0.187696588037833,0.265560135093298,0.0404960321592687,0.24295746032371,0.0940077979627504,0.167680701386458,0.129602663776946,0.435768765603904,-0.0733440988804228,0.375135319201832,-0.617764698937812,0.780550257474389,0.606807425566211,0.0016612738674352,-0.396574503643412,-0.796197271233308,-0.701766638858211,-0.507285246508469,-0.275506660636269,0.371136456891625,-0.25145614189914,-0.41712915800262,-0.697511322686952,-0.639169033219314,-0.689982359873423,0.423752781866252,0.284635017697977,0.307690904698107,-0.500525645278094,0.135612875201939,-0.704708738769664,0.0428274962336826,-0.753717460567365,-0.176763274204053,-0.188207398807824,-0.759253363408919,-0.761170772451292,-0.962373242991813,-0.908693492722208,-0.389501103676098,0.335628301738329,0.384823796016636,0.704958583680526
NLGN2,0.691331349604686,-0.39958554831625,0.9078749622648,0.538654672825503,-1.40107730709498,-1.07790101967938,0.164734248908529,0.156924275494415,0.391209203469972,-0.0483910308911285,-0.516183198879373,-0.65191358138833,0.211439378591618,-1.46061549513261,-0.0543647544416854,2.80663539264383,-0.0975232756279227,0.17732852092327,-0.918080852831697,1.14994885676577,-0.0019586573379839,0.125047683883503,-0.618714776290324,-0.102413339496218,-0.807471782219566,-0.816540912774707,0.0405806552297964,-0.605544547160307,0.446289464955608,-0.296471305956054,-0.212462689839166,-0.981013737596549,0.401766827235812,-0.0228363784018386,-0.371184004720319,-0.0711973255810523,-0.550683991844036,0.0787939968400498,0.297710252315947,1.32975249025925,0.198170392231771,0.284931204820436,-1.09369106767882,-1.05117662773971,-0.477259875121239,-0.0706427961320299,-1.70026178244239,0.95660122064109,0.675782410833996,0.857510496302072
IFNK,0.342217971336615,-0.360940153584759,0.75519701145477,0.65691465877563,-1.26167062332698,-2.6317889446011,-0.885881201696226,0.231019312683478,-0.300707488604295,-0.862425286783051,-0.35313177317836,0.568901759739384,0.601831126808416,0.925623250573438,0.590555605897745,0.710985329160298,0.592086573312446,0.644111514117358,0.645191264774361,0.958036002196435,0.544843509628447,0.160217974661253,0.762924615240887,0.513037928305262,-0.242760427755558,0.889853890347396,-1.08232522458546,0.642225921858908,-4.55774310787086,-0.0909384604165345,0.368098247322065,0.208351336908216,-1.14342649309941,0.736595677445373,-0.668019466027279,0.588222582105739,0.879333065937007,-0.307226783606817,0.392937907609904,0.685645956355847,0.596418069592435,0.558437560562093,-0.475594124047825,-0.117593762356287,-0.662675612651531,0.589719405938631,-1.23089842078076,-0.530720387409339,-1.28782633441429,-0.309601931521088
