,TCGA.3C.AALI.01,TCGA.A2.A0T7.01,TCGA.A2.A0YC.01,TCGA.A7.A13E.01,TCGA.A7.A6VV.01,TCGA.A7.A6VX.01,TCGA.AN.A0XP.01,TCGA.AO.A12G.01,TCGA.AR.A1AI.01,TCGA.AR.A1AR.01,TCGA.AR.A1AS.01,TCGA.AR.A24L.01,TCGA.AR.A24T.01,TCGA.B6.A0RM.01,TCGA.B6.A0X7.01,TCGA.B6.A1KF.01,TCGA.BH.A0DV.01,TCGA.BH.A0E0.01,TCGA.BH.A0E2.01,TCGA.BH.A0H0.01,TCGA.BH.A0HI.01,TCGA.BH.A0RX.01,TCGA.BH.A1F2.01,TCGA.BH.A202.01,TCGA.BH.A6R9.01,TCGA.C8.A1HO.01,TCGA.C8.A26X.01,TCGA.C8.A3M7.01,TCGA.D8.A1XZ.01,TCGA.D8.A1Y2.01,TCGA.D8.A27L.01,TCGA.E2.A1IF.01,TCGA.E2.A9RU.01,TCGA.E9.A1N5.01,TCGA.E9.A1R0.01,TCGA.E9.A1R7.01,TCGA.E9.A245.01,TCGA.E9.A5FK.01,TCGA.EW.A1IY.01,TCGA.EW.A1OZ.01,TCGA.EW.A6S9.01,TCGA.EW.A6SD.01,TCGA.HN.A2OB.01,TCGA.LL.A440.01,TCGA.OL.A66K.01,TCGA.PL.A8LV.01,TCGA.PL.A8LY.01,TCGA.S3.AA15.01,TCGA.WT.AB41.01,TCGA.Z7.A8R5.01
C1orf210,-0.954543778750195,0.060191469204278,0.667590973565045,-0.677615659446158,0.81465447233812,0.885407729391765,-0.317295762696887,0.741576341075126,0.90534898976846,-0.955912420311436,1.48068436098236,0.336671909340098,-0.460899559990999,0.912637874409689,-0.185149897083587,-0.305668510144528,-0.523687609210296,0.578822459495977,-1.75415894043168,2.6199537449241,1.0298911311734,-0.726623567384965,-0.984750748018025,-0.217103630980719,-3.34573505889668,0.240195044533583,-1.95367294892257,-0.899356317752851,1.5166626160901,-0.63570592244693,-0.378268344519557,0.227886682669927,0.239639022007245,-0.0078966651443395,0.50771293183584,1.84307317875987,1.34247150112343,-0.660163974188564,-0.779593975727999,-1.86941265953359,0.0430194523887852,-1.41534667939004,-0.608174558770216,-2.05659124428164,1.31684010468216,1.51413964432098,0.371167237206173,-0.591401381168881,-0.2727762257079,-0.141403665213747
GPBP1L1,-0.745809409140451,0.327333596686815,0.850021001188527,1.74331644594922,0.577799035035759,0.576080947884397,0.195635028996846,0.45984855364509,2.1874978509156,1.06630985955069,0.825117773608868,-0.567749858003388,-1.7271717664628,1.34889414458583,1.25624271311162,-2.27871247746243,-1.49685823526594,-0.539382490161599,-0.19881794976552,2.48860166248792,0.515610628836716,-1.88484646078242,-0.706445209253925,-0.71938365041044,-2.1985540495443,0.606608947525323,-0.81408800776207,0.96772654967359,1.67533604067346,-0.357437563187365,0.336201873529888,-0.387870686363617,-0.531654117992275,0.310395145037245,-0.236392202457352,-0.815498037386991,-0.589311821514877,-2.02535051276508,0.313144631438837,-2.76008151817045,0.0901077640264436,-1.51532183044713,0.202452553335394,-0.743572078637684,-0.25604210859353,0.3511387869213,0.401217403636688,-0.218851500821453,-2.51592494288049,-0.610169336422147
DEF8,0.980862967746199,0.154440249497787,-0.835640351466634,0.916448384453072,1.37439863420176,1.85104985032297,-1.02501057019597,-0.816976764420257,0.754576217873545,-0.602693086710144,-0.528146707676341,-1.10232974273627,-0.701998494871239,-1.25894850433193,-0.25696467820949,0.800760478360346,-0.926557427503906,0.704487515657032,-0.470467539456525,-0.442823912179724,-1.53050179978021,1.67275836243986,-1.96005521952469,-1.92485358543529,0.733331830949084,0.895613365221046,-0.730502957372578,-0.0847073546368871,0.934338690883013,1.57240997731367,0.0326809071659552,-0.905369382567084,-0.426460932863783,-0.235360755581711,-0.733206668412517,-1.42951218371152,1.43369476500084,0.214563858506156,-2.25181529243904,-0.283953847575304,-1.20230913477355,-0.291518837599471,0.789140289606952,0.822373499196481,-0.656827745302471,0.11762236833862,0.239303649010045,1.5134746330556,0.183789125355876,0.13360071838325
ACSL5,-0.136561314660171,0.94454243263859,-0.772240758229328,-1.92377608275485,-1.09516588677422,1.23475176711134,0.0709696305396717,-0.262699649544556,0.742924574259432,0.786393273867345,-1.69226152920495,-1.16651807648703,-0.486118432603402,-1.23725685151574,0.16625551267243,-0.725519462024545,0.134372033269151,2.9090587477186,-1.13309493819139,-0.947736809423554,0.285102755086909,1.40738765430233,-0.523859781132852,0.923317925694439,-0.455756800560535,-1.1950391307615,1.66628468348624,1.12062167791812,-0.325327318505097,0.393150233976239,0.773795415001972,-0.751576535133587,-0.622921966477524,0.0583656003024681,-0.25148100484727,-1.33336077258465,-1.03046940264118,1.4611217359941,1.35542054966775,-1.13263254989796,-1.60891496628877,1.05082695321322,-0.908006193190117,1.07974770357485,0.349921556406545,-0.390533160122814,0.668063515958848,1.09184477424192,0.0137205867074825,0.421971192713721
TTN,-0.0146330830622451,-0.0747886779809015,-0.462298644628913,0.500843365222194,-0.6761229137856,0.192486346259382,-0.296068038917995,-0.55788610926842,-0.0723897843299112,0.209929992028665,-0.929912147699431,-0.530728836130045,-0.356158753784031,8.99510470264371,1.72132751091267,-0.678652793435425,2.89231550367267,-0.214517213531271,-0.803362093240413,0.336824973432827,-0.229052824122376,-0.198272900328347,-0.572220587193578,-0.317058566338303,-0.159752574624014,-0.244096544531321,-0.475317594074265,-0.0400222236407123,0.0441024340151573,-0.154292631422457,0.617715103451021,-0.115248463599156,-0.875999839174782,0.672426443003868,-0.540469994322541,-0.809975119949217,0.136644927559751,-0.578464700981334,0.161187416941269,-0.933575363725713,-0.798696843722685,-0.230927568899573,0.325901531488008,0.962819160388639,-0.262636080074296,-0.250458493822992,-0.47893077360434,0.70849481322672,-0.600782656154393,-0.52462522956061
LOC100507424,-1.46321249158716,-0.182359247457629,-0.978383043831038,0.241486187557796,-0.157726711556256,0.566197141748316,1.84616309229222,-0.295776982372524,0.4777958854784,-1.12532329742448,-0.264891736629124,-1.25955222119775,0.235584524136636,0.191449806251733,1.09778850628133,-1.15361669131824,0.304874503058047,1.03514716837151,0.796556213541574,-0.0299836830344568,-0.06660029227983,-0.391668733427308,-1.92395798835067,-1.98887586575305,-0.887075817877339,-0.20243503965541,-1.21691314515811,1.3748158356638,1.33486554586161,-0.566374513887472,0.577534193403493,-0.0846594168958575,-1.28379405546308,-0.656214526093737,0.0681426908440706,0.189563593858337,0.220091860766472,-0.215752630316378,-0.789361741930401,-1.38565443488492,-1.08947052142703,-2.03817922546168,0.614554260012077,-0.861363829250724,-0.784195437216767,-1.08009534660397,0.681630124001137,0.604188833164504,-0.0007733297377272,0.695687123861081
APPL1,-1.19225032618729,1.30109647126981,-0.0231277549446708,2.36762525212867,-0.556297992101032,0.098520546380259,0.45249509874397,-0.850428205920993,0.475546467300087,1.88352787788886,0.585197238218629,-1.13317932533879,-0.261948399599879,0.71451272536466,0.77528322576589,0.0921088099309061,0.0478899072536602,-1.03195455803425,0.356213152833178,1.82431536049059,0.871482713502787,-1.44088281055947,1.51842360337621,1.5506181839653,-1.03896553654566,-0.118659699360404,-1.14417088302307,0.684479368703531,-0.155765925011765,0.127769156937138,0.68139195211914,-1.08764986517853,-1.31738352907353,0.472610694118392,0.519890508088452,-0.557429643515731,-0.507002395018286,-0.543505268348455,0.784170264378748,-1.18288433878953,0.238810457597793,0.0290700952686093,0.838417511952646,-0.0261185422408558,0.697152869742251,-0.0094597265915723,0.071933221612633,-0.0671788255740566,-0.676836809051528,-0.354872459796118
DEXI,-0.387348108610775,0.304203843329738,0.03818910859699,-0.472445960290892,1.3962564618175,-0.230225867461395,-0.450752352780779,0.458985610131284,-1.04091879111498,-1.66675067819989,1.70298923310227,0.177533137936298,-0.533102641572902,2.24302138030145,0.378836847887331,0.660384734528641,0.192256605576887,-0.931394849483599,0.128738022363784,-0.929842028906253,-0.0689090682236785,-0.316060056732353,-1.67667514530087,-0.684141300015649,-0.231122261660495,0.525175366522479,-0.355826039629166,0.334700467073335,-0.0614504157293586,0.808519092453251,0.6963237647909,2.14310424238338,1.85988700876641,0.990204488683319,0.818112788650367,-0.207486727284154,0.4883094538051,0.821605994033213,-1.39226856231976,0.10935122342023,-0.893410047093655,-0.464224504599686,0.177774160142297,-0.973112442480929,0.996514613537926,-1.43657813622238,1.05430663186368,0.580177581665689,1.3230773178637,1.13430371442771
MCPH1,0.753742910115652,-0.180027974789965,0.598901041281833,-0.816197022999338,-1.1444808430927,1.09050748437732,0.725590426867164,-1.25138234213751,1.8997155113838,0.40923211592068,-1.36740087868684,-0.215535679738072,0.669097927368027,-0.964468246687906,-0.567416879318275,-0.0412887037187798,-0.243884355591026,0.559049387813833,-0.398492295714126,-1.27811939943978,0.515861234830651,-0.931490609749212,-0.839836643310081,-0.297015905983095,0.0614844504737309,0.0097230152409555,-0.971701680647959,0.768613616293667,-0.768730140910988,-0.436879297559649,-0.707706807932082,-1.05693759146063,-1.52286501859009,0.945179887864911,0.280790847425988,-0.215659728486179,-0.537519102047962,-0.0919434971900205,1.63423173378841,-1.96839388175079,1.02943359833385,-0.160980679208431,0.0802764182194925,-0.434396313117237,1.58117443641065,1.05130453771039,0.476053588101778,0.513706377536696,-1.53523291407615,-0.181824316145891
WDR86.AS1,0.275438241713317,1.44036513133208,-0.163048841136362,-0.927213549546399,-0.815743512889222,-0.368368897348146,-1.01670772062763,-0.341328660808394,-0.998412787148931,0.349193240476835,-1.06304364427627,-0.0182524430060588,0.88198102112454,0.0200687714251265,-0.225201464833361,-0.641276577524184,1.21287508012596,-1.15447047201667,-0.78191772935725,-1.02362962683211,-1.06680132310811,0.254462459534112,-0.907832200727648,-0.383643739115311,-0.32698254564241,-0.685172472136966,-0.516100193773098,1.11808729343494,-0.59487336287275,0.31754406182266,1.21397907451423,0.799801137455485,-0.929669932713563,-0.693738702965695,1.02490411894842,-0.667306910659165,-0.0992259332375281,2.2521716753971,1.65482602822045,-0.582420881546779,-0.151144390767539,-0.44714997716094,1.97647245246191,1.13330974318417,-0.407648141509047,-0.237495459015751,1.75491134159456,1.46282168768291,1.38806580450665,2.01969884675059
DAZAP2,-0.530231810029366,1.34458135092255,-0.0384855063796334,-1.42970616127834,-1.42947352984133,0.496207208238585,1.22471806235872,0.330801988987777,-1.47147744329687,-1.14451448982842,0.998631664446901,0.0550677652587921,1.15856714261272,0.788640333012992,1.31758934486942,-1.63409806524495,0.0796634585959904,-1.9545391853899,-0.808570893902237,0.778345615861815,0.518995063803798,-0.960122552965392,0.405942065820352,-0.629355394574494,-1.50220865135833,-1.25536986612598,-0.0874816370297643,0.196759826425737,0.561822074404151,0.108514190780978,0.190059058888023,0.384707788080993,-1.37384861138187,0.0832439022381739,0.578731795802576,-0.101310671564761,-1.13889493029254,1.02182978166009,0.748176567424763,0.0273966573590633,-0.544966836721702,-2.22582164522859,-0.152742865500929,-1.38464565651466,-0.630787235121768,-1.19917085620793,-0.287869332140406,-0.615361048942774,1.2823697155366,0.507600604533425
HDLBP,0.463157254282805,0.0081642947351845,-1.41975178939647,1.0622364455666,0.498387640543846,-0.583074799844598,-0.652246736699741,0.269822683664183,3.6042824789549,1.29776867856815,-0.207773642365718,-0.755256189853171,0.883624655028839,-0.757732658763867,-0.0426274679052775,0.562933576708102,0.340828577715106,0.4179845693699,-0.103684397731992,0.315724440681757,0.467456592803118,-1.92587918367247,-1.14990071475572,-0.0473510874783131,-0.599508216043947,0.164536993237581,0.256977468040358,-0.0480545229680462,-0.459845363379885,0.237354012555989,-0.0383995309692422,-1.26537338096726,-0.41541015294638,0.314233668768826,-0.42561827035956,1.87385512958856,-0.271385228927337,-0.280489557988959,-0.27216347974927,0.202083204324012,-0.715864652824567,1.36258521894113,0.53244717303241,-0.0880916208335324,0.412917079856642,-3.07728438781996,-0.336668492671327,0.65561179931994,-1.03338553261567,-1.57735728897436
