,TCGA.3C.AALI.01,TCGA.A2.A0T7.01,TCGA.A2.A0YC.01,TCGA.A7.A13E.01,TCGA.A7.A6VV.01,TCGA.A7.A6VX.01,TCGA.AN.A0XP.01,TCGA.AO.A12G.01,TCGA.AR.A1AI.01,TCGA.AR.A1AR.01,TCGA.AR.A1AS.01,TCGA.AR.A24L.01,TCGA.AR.A24T.01,TCGA.B6.A0RM.01,TCGA.B6.A0X7.01,TCGA.B6.A1KF.01,TCGA.BH.A0DV.01,TCGA.BH.A0E0.01,TCGA.BH.A0E2.01,TCGA.BH.A0H0.01,TCGA.BH.A0HI.01,TCGA.BH.A0RX.01,TCGA.BH.A1F2.01,TCGA.BH.A202.01,TCGA.BH.A6R9.01,TCGA.C8.A1HO.01,TCGA.C8.A26X.01,TCGA.C8.A3M7.01,TCGA.D8.A1XZ.01,TCGA.D8.A1Y2.01,TCGA.D8.A27L.01,TCGA.E2.A1IF.01,TCGA.E2.A9RU.01,TCGA.E9.A1N5.01,TCGA.E9.A1R0.01,TCGA.E9.A1R7.01,TCGA.E9.A245.01,TCGA.E9.A5FK.01,TCGA.EW.A1IY.01,TCGA.EW.A1OZ.01,TCGA.EW.A6S9.01,TCGA.EW.A6SD.01,TCGA.HN.A2OB.01,TCGA.LL.A440.01,TCGA.OL.A66K.01,TCGA.PL.A8LV.01,TCGA.PL.A8LY.01,TCGA.S3.AA15.01,TCGA.WT.AB41.01,TCGA.Z7.A8R5.01
hsa.let.7a.1,-0.301683871,0.455432935,2.032888067,-0.43581541,0.743932501,1.076456891,0.439378069,1.117084482,-1.770156404,-0.65953037,0.761670097,0.006423371,-0.114507934,1.030039249,-1.207090845,-1.171906795,2.308137095,-1.137355288,3.09433867,1.74575845,-0.102987285,-0.657360982,-0.152135532,-0.200340235,-0.459668398,1.239990375,-1.199358189,-0.246894425,0.786205822,-0.666676706,0.270674966,0.104104368,-1.542802721,-0.769764766,0.715406516,0.336758563,1.861660217,0.013495558,-0.746701816,-0.438284526,-0.287060206,-2.892113093,0.822968269,0.295733195,-0.498753569,-0.797412963,0.262297777,-1.233870098,-0.086149483,-0.211877876
hsa.let.7a.2,-0.318008846,0.502946379,2.033507106,-0.448788606,0.731395682,1.069406562,0.464186706,1.108508182,-1.74321753,-0.664695245,0.768794274,-0.023109209,-0.097207912,1.006941327,-1.204401365,-1.174207191,2.310838231,-1.176225944,3.107214297,1.765816767,-0.082011612,-0.654825147,-0.166955005,-0.234352794,-0.471979067,1.236475038,-1.183456431,-0.239473603,0.799069913,-0.618640209,0.283029599,0.153457371,-1.548694491,-0.770688347,0.683657929,0.322829577,1.857592108,-0.007311825,-0.754018555,-0.421676607,-0.285983598,-2.884651399,0.828600994,0.316793947,-0.488163057,-0.780187735,0.264193242,-1.256697751,-0.074379665,-0.210525384
hsa.let.7a.3,-0.301310323,0.514632753,2.063187681,-0.430907316,0.74106773,1.075446633,0.460032886,1.160786555,-1.682504047,-0.690401663,0.786257594,-0.014953378,-0.115293172,1.000331788,-1.163836207,-1.175745179,2.327081631,-1.014183864,3.115457351,1.760260806,-0.099095735,-0.725017504,-0.197936723,-0.205162387,-0.496064665,1.250712997,-1.209480811,-0.255569389,0.832902732,-0.692687904,0.276276511,0.172757855,-1.565836423,-0.782257079,0.691990292,0.335614706,1.866428326,-0.009338362,-0.809669107,-0.427230129,-0.290634009,-2.89845339,0.804029716,0.295295987,-0.500911519,-0.817222541,0.292169116,-1.214078093,-0.102882547,-0.220135324
hsa.let.7b,0.419859211,-0.129164245,1.65481016,0.062448859,1.234864768,0.434852698,1.369935369,1.34498657,-0.565617953,-0.27280146,1.007340485,-0.54337998,0.257004811,0.914950706,-1.638640577,-0.397900821,2.034578649,-0.774536877,1.649114858,1.686883251,0.071295987,-1.024471293,-0.109678247,-0.694259952,-0.096044305,1.375383454,-0.65664349,-0.435369697,0.6275552,-0.457436735,0.001534122,0.240609089,-0.724303732,-0.273367844,1.514738796,-0.789674905,1.141570206,-0.659704792,0.721261301,-2.027179348,0.190344988,-3.336785972,1.234358564,-0.4351366,0.301468654,-1.377750706,0.557360601,-0.831529587,-0.342075098,0.177654928
hsa.let.7c,-0.715962624,0.890173113,-0.698634924,0.604875865,-0.035509603,-0.618645799,-0.501850378,0.00013544,-0.171443562,0.637123833,-2.037148559,0.374131432,0.892841988,-0.978290094,-1.944389357,2.674569861,1.663589415,-0.464669029,0.112051181,0.2860205,-0.322231758,0.454878218,0.477685068,-0.196361922,0.127692212,0.659770739,-0.890496369,1.017790843,-0.568702266,-0.447209393,0.804374697,1.159086363,-0.894997519,-0.775421024,0.978299895,0.195220818,0.007917239,0.783986616,0.037291817,-1.187374589,-0.463142814,-2.510006398,1.45856564,1.214740523,0.4712748,-0.277411364,1.741134334,0.495241371,0.506727784,1.070327797
hsa.let.7d,0.460974991,-1.246289744,-0.106951217,1.23087995,0.621672996,0.969941007,-0.448379118,0.455239515,1.909989051,1.535019951,0.025811148,-0.528785477,-1.691299018,-0.659425943,0.428794896,1.451547288,0.436043991,1.697905133,-0.411961398,-0.075044507,-0.405456103,0.59629676,0.019521087,0.799589858,0.056338452,1.081950828,-0.846403445,-1.948163594,1.254324957,-1.187535772,-1.179759307,-0.194401741,0.110277316,-1.126672752,-0.021962938,0.204495736,-1.370408178,-1.388019089,-0.230846577,-1.329840742,-0.013793494,-2.751498894,-1.294261243,-0.524577598,-0.815729289,1.815086538,-0.621690917,0.05848151,0.627048075,-0.716526217
hsa.let.7e,-1.999303874,0.002383153,0.921686151,0.179783633,1.061778275,1.165767449,-1.425418019,1.081858217,-3.008949515,0.625829641,0.97828132,0.692185657,-1.239838451,-0.36381761,-0.834208967,0.151189654,1.71598803,0.320265007,1.031306362,1.097647541,-0.83957428,0.286822748,-0.092673536,-0.175302934,0.437470468,1.484150585,-2.207078245,-1.952722893,2.11632916,-0.850918771,0.510144834,0.075846724,-0.808417518,-1.806519735,0.356137112,0.72646468,0.925560399,-0.483199251,-1.074045304,-0.428059445,-0.186091813,-1.01905826,0.188889136,0.908419239,-1.361485127,-1.51819587,-0.999096177,-0.391949399,0.30306441,-0.598472933
hsa.let.7f.1,-0.659788066,-0.642024426,0.299332322,-0.679461552,0.021739579,1.575874017,-0.473851681,0.530816407,-0.961158321,0.550518201,0.257107603,-0.42643534,-0.7799331,0.030963264,0.081167908,-1.049857908,1.964712759,-0.201745227,2.70864261,0.144599992,0.175314247,0.108990822,-0.361411022,0.07019297,-0.687390146,0.831896912,-0.392364228,0.18115966,0.63814116,-0.24101231,0.849597353,0.19855449,-0.98741802,-0.449629035,-0.561553605,0.177492628,-0.215737955,1.329737806,-1.205280007,-1.979085718,-0.745573658,-2.922337269,-1.097243541,0.906819141,-1.661183822,0.658922497,-0.280965932,-1.065230134,0.798165227,-0.229773752
hsa.let.7f.2,-0.651943151,-0.661202723,0.400658688,-0.656240607,0.017195613,1.577766977,-0.549209485,0.559183459,-0.953342838,0.58709111,0.245211038,-0.382857629,-0.779776472,-0.067349537,0.089184194,-1.087055675,1.97565037,-0.077332553,2.707717572,0.267892029,0.108678606,0.068056727,-0.355888208,0.036761705,-0.661622004,0.816680074,-0.372504109,0.178990732,0.564954248,-0.233279442,0.858106586,0.224723241,-1.072180157,-0.460771669,-0.560693451,0.225138067,-0.204609696,1.302388812,-1.178451608,-2.094138847,-0.746935086,-2.911702817,-1.064398502,0.907068691,-1.604333964,0.686287314,-0.252106,-1.049740317,0.818886369,-0.190906436
hsa.let.7g,-1.050265579,-1.286921935,0.513993672,0.442402194,-0.257348234,-0.10209062,-0.649521512,-0.736417495,-0.261089661,1.617670061,0.646749108,-0.841195984,-3.263563634,-0.732833373,1.015439799,1.161103158,0.958336556,2.05915383,0.012640969,0.684153002,0.087258466,0.460614278,-0.305324187,1.431694924,-1.501488131,2.048255773,0.980694161,-0.362799259,1.168544997,-1.48187491,-0.080443357,0.916040072,-0.864099447,-0.875979865,0.308151601,0.686450995,-0.215529541,0.642949236,-0.832641069,-1.903846193,-1.03231576,-3.215732057,-1.592137081,-0.14816271,-1.613617265,1.325588221,-0.00927985,0.470768625,1.183321527,-0.465549464
