timestamp,run_id,experiment_name,cancer_type,model_type,features,n_folds,fold,precision,recall,f1,nmi,ari,notes,artifact_path
2026-03-05 22:02:46,final,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,0,0.7593,0.8683,0.7978,0.6116,0.5168,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:02:56,final,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,1,0.5832,0.6877,0.604,0.4593,0.4364,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:03:06,final,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,2,0.6433,0.6744,0.6472,0.5379,0.628,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:03:18,final,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,3,0.7415,0.8444,0.7729,0.6006,0.5437,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:03:28,final,ablation_early_fusion,GS-BRCA,EarlyFusionMLP,early_concat_15366,5,4,0.7808,0.8003,0.7892,0.5543,0.5702,"A2: EarlyFusionMLP, total_features=15366",
2026-03-05 22:03:31,final,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,0,0.724,0.7857,0.7278,0.4276,0.4899,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:03:33,final,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,1,0.8922,0.8429,0.8611,0.6501,0.7438,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:03:36,final,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,2,0.7889,0.8151,0.7955,0.5078,0.4858,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:03:39,final,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,3,0.8182,0.8016,0.8004,0.5359,0.5408,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:03:42,final,ablation_early_fusion,GS-COAD,EarlyFusionMLP,early_concat_15200,5,4,0.5524,0.6305,0.5703,0.499,0.4954,"A2: EarlyFusionMLP, total_features=15200",
2026-03-05 22:10:46,final,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,0,0.843,0.8479,0.8439,0.6691,0.655,A3: 10% modalities zeroed,
2026-03-05 22:11:07,final,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,1,0.7205,0.8048,0.7417,0.583,0.4805,A3: 10% modalities zeroed,
2026-03-05 22:11:30,final,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,2,0.7707,0.8177,0.7863,0.6484,0.6607,A3: 10% modalities zeroed,
2026-03-05 22:11:50,final,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,3,0.8325,0.9224,0.8665,0.7253,0.6746,A3: 10% modalities zeroed,
2026-03-05 22:12:10,final,ablation_missing_10pct,GS-BRCA,IntermediateFusion_ablation,missing_10pct,5,4,0.8316,0.8818,0.8539,0.6579,0.6557,A3: 10% modalities zeroed,
2026-03-05 22:16:38,final,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,0,0.6839,0.7143,0.6908,0.4464,0.5052,A3: 10% modalities zeroed,
2026-03-05 22:16:43,final,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,1,0.8458,0.8631,0.8535,0.5649,0.6076,A3: 10% modalities zeroed,
2026-03-05 22:16:48,final,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,2,0.6146,0.6651,0.634,0.6539,0.7327,A3: 10% modalities zeroed,
2026-03-05 22:16:53,final,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,3,0.8385,0.8373,0.8242,0.5633,0.5783,A3: 10% modalities zeroed,
2026-03-05 22:16:57,final,ablation_missing_10pct,GS-COAD,IntermediateFusion_ablation,missing_10pct,5,4,0.5588,0.6345,0.5868,0.517,0.5731,A3: 10% modalities zeroed,
2026-03-05 22:12:31,final,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,0,0.8184,0.8422,0.8274,0.6295,0.6192,A3: 20% modalities zeroed,
2026-03-05 22:12:54,final,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,1,0.8188,0.8359,0.8251,0.6853,0.6917,A3: 20% modalities zeroed,
2026-03-05 22:13:14,final,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,2,0.7764,0.8289,0.7976,0.7068,0.7083,A3: 20% modalities zeroed,
2026-03-05 22:13:36,final,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,3,0.8604,0.9271,0.8835,0.7428,0.7071,A3: 20% modalities zeroed,
2026-03-05 22:13:50,final,ablation_missing_20pct,GS-BRCA,IntermediateFusion_ablation,missing_20pct,5,4,0.7913,0.8713,0.8221,0.6289,0.6346,A3: 20% modalities zeroed,
2026-03-05 22:17:02,final,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,0,0.7748,0.8476,0.8043,0.5411,0.5624,A3: 20% modalities zeroed,
2026-03-05 22:17:06,final,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,1,0.6047,0.5762,0.5745,0.6544,0.7439,A3: 20% modalities zeroed,
2026-03-05 22:17:10,final,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,2,0.5488,0.6151,0.5743,0.4944,0.6084,A3: 20% modalities zeroed,
2026-03-05 22:17:13,final,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,3,0.5634,0.6357,0.5918,0.5488,0.56,A3: 20% modalities zeroed,
2026-03-05 22:17:17,final,ablation_missing_20pct,GS-COAD,IntermediateFusion_ablation,missing_20pct,5,4,0.5108,0.4979,0.4504,0.3156,0.274,A3: 20% modalities zeroed,
2026-03-05 22:14:04,final,ablation_missing_30pct,GS-BRCA,IntermediateFusion_ablation,missing_30pct,5,0,0.7638,0.8338,0.7908,0.6156,0.5768,A3: 30% modalities zeroed,
