model,cancer,fold,ece,mce,brier,n_samples
XGBoost,GS-BRCA,0,0.0671,0.465,0.0386,135
XGBoost,GS-BRCA,1,0.0541,0.6332,0.0381,134
XGBoost,GS-BRCA,2,0.0731,0.2976,0.0455,134
XGBoost,GS-BRCA,3,0.0642,0.597,0.0317,134
XGBoost,GS-BRCA,4,0.0825,0.6841,0.0444,134
XGBoost,GS-COAD,0,0.066,0.4755,0.0419,52
XGBoost,GS-COAD,1,0.023,0.6298,0.0341,52
XGBoost,GS-COAD,2,0.0502,0.4913,0.039,52
XGBoost,GS-COAD,3,0.0821,0.5065,0.0526,52
XGBoost,GS-COAD,4,0.1173,0.6621,0.0832,52
RandomForest,GS-BRCA,0,0.1465,0.7267,0.0571,135
RandomForest,GS-BRCA,1,0.1545,0.2933,0.0626,134
RandomForest,GS-BRCA,2,0.1227,0.2846,0.063,134
RandomForest,GS-BRCA,3,0.1404,0.2004,0.0558,134
RandomForest,GS-BRCA,4,0.1609,0.274,0.0634,134
RandomForest,GS-COAD,0,0.1433,0.435,0.0537,52
RandomForest,GS-COAD,1,0.1531,0.6333,0.0503,52
RandomForest,GS-COAD,2,0.1297,0.4567,0.0533,52
RandomForest,GS-COAD,3,0.1319,0.3441,0.0571,52
RandomForest,GS-COAD,4,0.1177,0.2752,0.0696,52
IntermediateFusion,GS-BRCA,0,0.0668,0.5174,0.0486,135
IntermediateFusion,GS-BRCA,1,0.1688,0.4205,0.076,134
IntermediateFusion,GS-BRCA,2,0.0515,0.4668,0.0457,134
IntermediateFusion,GS-BRCA,3,0.0664,0.3254,0.0405,134
IntermediateFusion,GS-BRCA,4,0.0967,0.3578,0.0529,134
IntermediateFusion,GS-COAD,0,0.1063,0.6191,0.0659,52
IntermediateFusion,GS-COAD,1,0.0805,0.5616,0.0404,52
IntermediateFusion,GS-COAD,2,0.0609,0.5337,0.0361,52
IntermediateFusion,GS-COAD,3,0.1104,0.4969,0.0599,52
IntermediateFusion,GS-COAD,4,0.1385,0.5553,0.0668,52
PathwayFusion,GS-BRCA,0,0.0536,0.607,0.0515,135
PathwayFusion,GS-BRCA,1,0.089,0.139,0.0642,134
PathwayFusion,GS-BRCA,2,0.0752,0.619,0.0514,134
PathwayFusion,GS-BRCA,3,0.0711,0.2542,0.0321,134
PathwayFusion,GS-BRCA,4,0.0775,0.2696,0.0541,134
PathwayFusion,GS-COAD,0,0.1062,0.4761,0.0771,52
PathwayFusion,GS-COAD,1,0.0449,0.5128,0.0274,52
PathwayFusion,GS-COAD,2,0.0797,0.5577,0.0524,52
PathwayFusion,GS-COAD,3,0.0529,0.6885,0.0565,52
PathwayFusion,GS-COAD,4,0.0878,0.5469,0.0739,52
