Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,microtubule cytoskeleton organization involved in mitosis (GO:1902850),9/128,2.7201075392706303e-11,1.3083717263891732e-08,0,0,36.58106169296987,889.9354579374817,CDC20;CENPF;KIF4A;NUSAP1;CENPN;TTK;KIF11;DLGAP5;NDC80
GO_Biological_Process_2021,mitotic spindle organization (GO:0007052),9/157,1.7099042163934527e-10,4.1123196404262535e-08,0,0,29.37013843111404,660.517189926443,CDC20;TPX2;CENPF;KIF4A;CENPN;TTK;KIF11;DLGAP5;NDC80
GO_Biological_Process_2021,mitotic nuclear division (GO:0140014),6/74,2.9144225280044185e-08,4.672790786567085e-06,0,0,39.87032085561497,691.7902978875419,TPX2;UBE2C;NCAPG2;NUSAP1;KIF11;NDC80
GO_Biological_Process_2021,kinetochore organization (GO:0051383),3/13,4.131015408372114e-06,0.00037923720285731215,0,0,127.27659574468083,1577.8463435310855,CENPF;NDC80;DLGAP5
GO_Biological_Process_2021,regulation of mitotic cell cycle (GO:0007346),6/178,5.244706660687964e-06,0.00037923720285731215,0,0,15.680232558139537,190.6448342327425,CDC20;UBE2C;KIF20B;DLGAP5;CDC25B;CKS1B
GO_Biological_Process_2021,positive regulation of cell cycle process (GO:0090068),5/101,5.258350555343542e-06,0.00037923720285731215,0,0,22.979166666666668,279.3276991420413,KIF14;NUSAP1;KIF20B;NDC80;CDC25B
GO_Biological_Process_2021,mitotic sister chromatid segregation (GO:0000070),5/102,5.5190445322269966e-06,0.00037923720285731215,0,0,22.741122565864835,275.3337252458451,NCAPG2;KIF14;NUSAP1;DLGAP5;NDC80
GO_Biological_Process_2021,regulation of mitotic cell cycle phase transition (GO:1901990),6/188,7.176833470268544e-06,0.0004315071123998962,0,0,14.811188811188812,175.4333815150427,CDC20;ANLN;TPX2;CENPF;UBE2C;KIF14
GO_Biological_Process_2021,spindle assembly checkpoint signaling (GO:0071173),3/21,1.8942018936649912e-05,0.0008282828280480552,0,0,70.68085106382979,768.592613095972,CDC20;CENPF;TTK
GO_Biological_Process_2021,mitotic spindle assembly checkpoint signaling (GO:0007094),3/21,1.8942018936649912e-05,0.0008282828280480552,0,0,70.68085106382979,768.592613095972,CDC20;CENPF;TTK
GO_Biological_Process_2021,mitotic spindle checkpoint signaling (GO:0071174),3/21,1.8942018936649912e-05,0.0008282828280480552,0,0,70.68085106382979,768.592613095972,CDC20;CENPF;TTK
GO_Biological_Process_2021,negative regulation of mitotic metaphase/anaphase transition (GO:0045841),3/22,2.1894288219208917e-05,0.000877596052786624,0,0,66.95744680851064,718.4055140842808,CDC20;CENPF;TTK
GO_Biological_Process_2021,positive regulation of cellular protein localization (GO:1903829),4/71,2.967969962373722e-05,0.0010981488860782,0,0,25.80532121998702,269.0216932832733,NGFR;MAPT;GTSE1;NDC80
GO_Biological_Process_2021,regulation of cell cycle G2/M phase transition (GO:1902749),4/85,6.027933795542898e-05,0.0020710258254686,0,0,21.33011272141707,207.25449175404967,TPX2;CENPF;KIF14;GTSE1
GO_Biological_Process_2021,sister chromatid segregation (GO:0000819),3/34,8.329713391830358e-05,0.0026710614276469,0,0,41.01372683596431,385.24589055488593,NCAPG2;NUSAP1;NDC80
GO_Biological_Process_2021,positive regulation of cytokinesis (GO:0032467),3/37,0.00010758892051640564,0.0030441335746112,0,0,37.3892365456821,341.6326661301949,KIF14;KIF20B;CDC25B
GO_Biological_Process_2021,centromere complex assembly (GO:0034508),3/37,0.00010758892051640564,0.0030441335746112,0,0,37.3892365456821,341.6326661301949,CENPF;CENPN;DLGAP5
GO_Biological_Process_2021,regulation of exit from mitosis (GO:0007096),3/39,0.00012610069935787855,0.0033696909106188,0,0,35.308510638297875,317.0149830122188,CDC20;ANLN;UBE2C
GO_Biological_Process_2021,positive regulation of cell division (GO:0051781),3/44,0.0001811421903351466,0.0043564696775602,0,0,30.994810586403737,267.0583626754283,KIF14;KIF20B;CDC25B
GO_Biological_Process_2021,mitotic spindle assembly (GO:0090307),3/44,0.0001811421903351466,0.0043564696775602,0,0,30.994810586403737,267.0583626754283,TPX2;KIF4A;KIF11
GO_Biological_Process_2021,kinetochore assembly (GO:0051382),2/9,0.00021804660985203623,0.0049943056828014,0,0,118.70833333333331,1000.8064198202924,CENPF;DLGAP5
GO_Biological_Process_2021,mitotic cytokinesis (GO:0000281),3/49,0.0002497855682645102,0.0054612208334195,0,0,27.618871415356157,229.09599013803128,ANLN;KIF4A;NUSAP1
GO_Biological_Process_2021,positive regulation of ubiquitin protein ligase activity (GO:1904668),2/12,0.0003978405023918532,0.0082525807923347,0,0,83.08333333333333,650.4975835514635,CDC20;UBE2C
GO_Biological_Process_2021,positive regulation of mitotic cell cycle phase transition (GO:1901992),3/58,0.00041177118298551824,0.0082525807923347,0,0,23.088974854932303,179.97954590931704,UBE2C;DLGAP5;CDC25B
GO_Biological_Process_2021,regulation of G2/M transition of mitotic cell cycle (GO:0010389),4/149,0.0005220612351235411,0.0100444581637769,0,0,11.877061469265367,89.76357233019593,TPX2;CENPF;KIF14;CDC25B
GO_Biological_Process_2021,DNA metabolic process (GO:0006259),5/277,0.0006257827711862366,0.0115769812669453,0,0,8.038398692810457,59.29530629998087,POLQ;NEIL3;UBE2T;XRCC2;TIMELESS
GO_Biological_Process_2021,regulation of mitotic sister chromatid separation (GO:0010965),2/16,0.0007187392304892979,0.0128042062913093,0,0,59.333333333333336,429.45537567816734,PTTG1;UBE2C
GO_Biological_Process_2021,cytoskeleton-dependent cytokinesis (GO:0061640),3/72,0.0007765711595735495,0.0133403831341027,0,0,18.39130434782609,131.69318363710184,ANLN;KIF4A;NUSAP1
GO_Biological_Process_2021,DNA repair (GO:0006281),5/298,0.000869312020087346,0.0134883574729681,0,0,7.454304133485021,52.53650759120063,POLQ;NEIL3;UBE2T;XRCC2;TIMELESS
GO_Biological_Process_2021,cellular protein-containing complex assembly (GO:0034622),4/168,0.0008186773429720742,0.0134883574729681,0,0,10.490986214209968,74.56804705021906,ANLN;CENPF;MAPT;DLGAP5
GO_Biological_Process_2021,regulation of cell cycle (GO:0051726),5/296,0.0008434836359854469,0.0134883574729681,0,0,7.506300114547537,53.129367444385565,CCNB2;CENPF;KIF20B;DLGAP5;CKS1B
GO_Biological_Process_2021,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),5/321,0.0012106305497506,0.0167962188990659,0,0,6.90365682137834,46.36919764075786,CDC20;PTTG1;UBE2C;KIF14;UFD1
