model,cancer,fold,auc
IntermediateFusion,GS-BRCA,0,0.9665
IntermediateFusion,GS-BRCA,1,0.9434
IntermediateFusion,GS-BRCA,2,0.9646
IntermediateFusion,GS-BRCA,3,0.9814
IntermediateFusion,GS-BRCA,4,0.9596
PathwayAwareFusion,GS-BRCA,0,0.9688
PathwayAwareFusion,GS-BRCA,1,0.9390
PathwayAwareFusion,GS-BRCA,2,0.9656
PathwayAwareFusion,GS-BRCA,3,0.9845
PathwayAwareFusion,GS-BRCA,4,0.9715
RandomForest,GS-BRCA,0,0.9769
RandomForest,GS-BRCA,1,0.9602
RandomForest,GS-BRCA,2,0.9656
RandomForest,GS-BRCA,3,0.9824
RandomForest,GS-BRCA,4,0.9688
XGBoost,GS-BRCA,0,0.9803
XGBoost,GS-BRCA,1,0.9769
XGBoost,GS-BRCA,2,0.9571
XGBoost,GS-BRCA,3,0.9852
XGBoost,GS-BRCA,4,0.9521
IntermediateFusion,GS-COAD,0,
IntermediateFusion,GS-COAD,1,0.9487
IntermediateFusion,GS-COAD,2,0.9649
IntermediateFusion,GS-COAD,3,0.9473
IntermediateFusion,GS-COAD,4,0.9527
PathwayAwareFusion,GS-COAD,0,
PathwayAwareFusion,GS-COAD,1,0.9812
PathwayAwareFusion,GS-COAD,2,0.9702
PathwayAwareFusion,GS-COAD,3,0.9321
PathwayAwareFusion,GS-COAD,4,0.9333
RandomForest,GS-COAD,0,
RandomForest,GS-COAD,1,0.9129
RandomForest,GS-COAD,2,0.9595
RandomForest,GS-COAD,3,0.9195
RandomForest,GS-COAD,4,0.9363
XGBoost,GS-COAD,0,
XGBoost,GS-COAD,1,0.9539
XGBoost,GS-COAD,2,0.9534
XGBoost,GS-COAD,3,0.8803
XGBoost,GS-COAD,4,0.8545
