rank,feature_name,modality,importance
1,hsa.mir.130b,mirna,0.032789
2,hsa.mir.135b,mirna,0.031686
3,hsa.mir.18a,mirna,0.031159
4,hsa.mir.324,mirna,0.028563
5,hsa.mir.24.1,mirna,0.028506
6,hsa.mir.301b,mirna,0.027140
7,hsa.mir.101.1,mirna,0.026703
8,hsa.mir.19a,mirna,0.025977
9,hsa.mir.30a,mirna,0.023541
10,hsa.mir.106b,mirna,0.022384
11,hsa.mir.29c,mirna,0.021539
12,hsa.mir.224,mirna,0.020353
13,hsa.mir.101.2,mirna,0.020244
14,hsa.mir.16.1,mirna,0.019582
15,hsa.mir.1.2,mirna,0.019434
16,hsa.mir.16.2,mirna,0.019246
17,hsa.mir.1266,mirna,0.019079
18,hsa.mir.196a.1,mirna,0.019003
19,hsa.mir.20a,mirna,0.018946
20,hsa.mir.146b,mirna,0.018750
21,hsa.let.7a.3,mirna,0.018530
22,hsa.mir.31,mirna,0.018485
23,hsa.mir.23a,mirna,0.017792
24,hsa.mir.25,mirna,0.017625
25,hsa.let.7f.1,mirna,0.017623
26,hsa.mir.320b.1,mirna,0.017594
27,hsa.mir.218.2,mirna,0.017416
28,hsa.let.7i,mirna,0.017348
29,hsa.mir.326,mirna,0.017176
30,hsa.mir.24.2,mirna,0.016985
31,hsa.mir.30b,mirna,0.016958
32,hsa.mir.212,mirna,0.016938
33,hsa.mir.27a,mirna,0.016713
34,hsa.mir.203b,mirna,0.016486
35,hsa.mir.222,mirna,0.016442
36,hsa.mir.1247,mirna,0.016413
37,hsa.mir.107,mirna,0.016263
38,hsa.mir.17,mirna,0.016022
39,hsa.mir.190b,mirna,0.015917
40,hsa.mir.30c.2,mirna,0.015811
41,hsa.mir.10a,mirna,0.015493
42,hsa.mir.210,mirna,0.015460
43,hsa.mir.345,mirna,0.015453
44,hsa.mir.1180,mirna,0.015445
45,hsa.let.7e,mirna,0.015188
46,hsa.mir.1301,mirna,0.015147
47,hsa.mir.26a.1,mirna,0.015142
48,hsa.mir.187,mirna,0.015074
49,hsa.mir.203a,mirna,0.014958
50,hsa.mir.200c,mirna,0.014899
