rank,feature_name,modality,importance
1,hsa.mir.4444.2,mirna,0.050069
2,hsa.mir.450b,mirna,0.035473
3,hsa.mir.188,mirna,0.034187
4,hsa.mir.362,mirna,0.029187
5,hsa.mir.503,mirna,0.027170
6,hsa.mir.421,mirna,0.027061
7,hsa.mir.218.2,mirna,0.026315
8,hsa.mir.181d,mirna,0.025705
9,hsa.mir.143,mirna,0.025583
10,hsa.mir.24.1,mirna,0.025382
11,hsa.mir.323b,mirna,0.024697
12,hsa.mir.224,mirna,0.024291
13,hsa.mir.576,mirna,0.023143
14,hsa.let.7i,mirna,0.023135
15,hsa.mir.532,mirna,0.022125
16,hsa.mir.378c,mirna,0.021884
17,hsa.mir.505,mirna,0.021827
18,hsa.mir.136,mirna,0.021620
19,hsa.mir.4746,mirna,0.021533
20,hsa.mir.592,mirna,0.021322
21,hsa.mir.652,mirna,0.020936
22,hsa.mir.181a.2,mirna,0.020689
23,hsa.mir.369,mirna,0.020581
24,hsa.mir.425,mirna,0.020571
25,hsa.mir.301a,mirna,0.020407
26,hsa.mir.651,mirna,0.020091
27,hsa.mir.125a,mirna,0.020060
28,hsa.mir.196b,mirna,0.019802
29,hsa.mir.1262,mirna,0.019733
30,hsa.mir.940,mirna,0.019568
31,hsa.mir.301b,mirna,0.019529
32,hsa.mir.199a.1,mirna,0.019498
33,hsa.mir.1247,mirna,0.019454
34,hsa.mir.101.2,mirna,0.019337
35,hsa.mir.338,mirna,0.019237
36,hsa.mir.660,mirna,0.019124
37,hsa.mir.18a,mirna,0.019040
38,hsa.mir.374b,mirna,0.018501
39,hsa.mir.23a,mirna,0.018295
40,hsa.mir.96,mirna,0.018147
41,hsa.mir.511,mirna,0.017977
42,hsa.mir.215,mirna,0.017954
43,hsa.let.7f.2,mirna,0.017896
44,hsa.mir.3615,mirna,0.017770
45,hsa.mir.15b,mirna,0.017715
46,hsa.mir.3614,mirna,0.017462
47,hsa.mir.4677,mirna,0.017427
48,hsa.mir.450a.1,mirna,0.017412
49,hsa.mir.643,mirna,0.017239
50,hsa.let.7c,mirna,0.017115
