rank,feature_name,modality,importance
1,CYP4F35P,mrna,0.004464
2,PRPH2,mrna,0.004361
3,MAPT,mrna,0.003974
4,ATAD3C,mrna,0.003801
5,CCNB2,mrna,0.003710
6,POLQ,mrna,0.003663
7,KIF15,mrna,0.003655
8,TPX2,mrna,0.003651
9,DLGAP5,mrna,0.003618
10,NUSAP1,mrna,0.003612
11,TTK,mrna,0.003590
12,PTTG1,mrna,0.003554
13,KIF11,mrna,0.003513
14,EVA1B,mrna,0.003471
15,KRT14,mrna,0.003455
16,KIF20B,mrna,0.003453
17,FAM198A,mrna,0.003422
18,KIF4A,mrna,0.003421
19,NCAPG2,mrna,0.003413
20,KIF14,mrna,0.003406
21,NEIL3,mrna,0.003390
22,CENPF,mrna,0.003389
23,NGFR,mrna,0.003358
24,CDC25B,mrna,0.003348
25,CCNE2,mrna,0.003319
26,UFD1,mrna,0.003316
27,GTSE1,mrna,0.003260
28,ANLN,mrna,0.003217
29,CYP4F29P,mrna,0.003213
30,TUSC8,mrna,0.003179
31,UBE2T,mrna,0.003152
32,NDC80,mrna,0.003146
33,UBE2C,mrna,0.003133
34,XRCC2,mrna,0.003130
35,CSE1L,mrna,0.003122
36,TIMELESS,mrna,0.003118
37,GINS1,mrna,0.003107
38,DEPDC1B,mrna,0.003080
39,TUBA1C,mrna,0.003074
40,CCM2L,mrna,0.003072
41,LINC02139,mrna,0.003050
42,S100A2,mrna,0.003036
43,SAA1,mrna,0.003026
44,CENPN,mrna,0.003021
45,CKS1B,mrna,0.003015
46,CDC20,mrna,0.003012
47,RAB6C.AS1,mrna,0.003012
48,C5orf34,mrna,0.003007
49,SYNM,mrna,0.002999
50,GGT5,mrna,0.002998
