rank,feature_name,modality,importance
1,LTN1,mrna,0.004186
2,LRCH4,mrna,0.003274
3,ZNF428,mrna,0.003195
4,NR1H3,mrna,0.002991
5,LINC01686,mrna,0.002991
6,KCNH2,mrna,0.002989
7,LCN15,mrna,0.002977
8,SNHG17,mrna,0.002908
9,FZR1,mrna,0.002899
10,GPR55,mrna,0.002883
11,FRK,mrna,0.002883
12,POLI,mrna,0.002882
13,LLPH.AS1,mrna,0.002825
14,ZNF557,mrna,0.002823
15,CEP72,mrna,0.002816
16,TP73,mrna,0.002790
17,WDR55,mrna,0.002786
18,MRPS7,mrna,0.002756
19,WHRN,mrna,0.002737
20,MFSD4A,mrna,0.002733
21,AARD,mrna,0.002710
22,RAC3,mrna,0.002699
23,GMEB2,mrna,0.002674
24,POMZP3,mrna,0.002672
25,DEFA6,mrna,0.002658
26,MIR196A1,mrna,0.002656
27,AP3D1,mrna,0.002656
28,PTRH1,mrna,0.002652
29,KCNRG,mrna,0.002645
30,RBFA,mrna,0.002639
31,LCT,mrna,0.002635
32,ELP2,mrna,0.002633
33,CTD.2201I18.1,mrna,0.002600
34,AGTPBP1,mrna,0.002593
35,DBP,mrna,0.002589
36,ABCB1,mrna,0.002578
37,CD55,mrna,0.002575
38,IQSEC2,mrna,0.002563
39,CCDC110,mrna,0.002560
40,DLGAP4,mrna,0.002555
41,LINC01184,mrna,0.002554
42,TIMM21,mrna,0.002538
43,TM2D3,mrna,0.002538
44,ANKRD61,mrna,0.002529
45,HCN1,mrna,0.002511
46,DLG3,mrna,0.002507
47,C19orf71,mrna,0.002497
48,DHRS4,mrna,0.002495
49,PLXNB3,mrna,0.002492
50,ETV6,mrna,0.002484
