rank,feature_name,modality,mean_abs_shap
1,mrna_ESR1,mrna,0.004959
2,mrna_MICALL1,mrna,0.002616
3,mrna_GREB1,mrna,0.002524
4,mrna_UBE2T,mrna,0.002295
5,mrna_TTK,mrna,0.002291
6,mrna_CCNB2,mrna,0.002060
7,methy_SMIM22,methy,0.001912
8,mrna_SMIM14,mrna,0.001874
9,mrna_NAT1,mrna,0.001852
10,mrna_CDC45,mrna,0.001827
11,mrna_CLCN4,mrna,0.001810
12,mrna_SLC7A8,mrna,0.001658
13,mrna_GATA3,mrna,0.001570
14,mrna_UBE2C,mrna,0.001552
15,mrna_TPX2,mrna,0.001533
16,methy_A3GALT2,methy,0.001520
17,mrna_EN1,mrna,0.001503
18,mrna_LOC553103,mrna,0.001502
19,mrna_LRRC46,mrna,0.001467
20,mrna_POLQ,mrna,0.001466
21,mrna_FRS2,mrna,0.001365
22,mrna_P3H2,mrna,0.001354
23,mrna_AFF3,mrna,0.001353
24,mrna_AURKB,mrna,0.001342
25,mrna_KRT14,mrna,0.001336
26,methy_UGT2B15,methy,0.001320
27,mrna_LINC00504,mrna,0.001318
28,mrna_ORC6,mrna,0.001267
29,mrna_STARD10,mrna,0.001267
30,mrna_NEIL3,mrna,0.001238
31,mrna_FOXM1,mrna,0.001233
32,methy_NFE2L3,methy,0.001223
33,mrna_HJURP,mrna,0.001203
34,methy_C22orf31,methy,0.001164
35,methy_ZNF80,methy,0.001148
36,methy_C5AR2,methy,0.001134
37,mrna_MLPH,mrna,0.001123
38,mrna_PSAT1,mrna,0.001090
39,methy_RECK,methy,0.001087
40,mrna_VIM.AS1,mrna,0.001013
41,mrna_SEMA3G,mrna,0.001001
42,mrna_LINC01117,mrna,0.000989
43,mrna_REEP6,mrna,0.000986
44,methy_HEPACAM2,methy,0.000975
45,mrna_COPZ1,mrna,0.000974
46,mrna_TICRR,mrna,0.000969
47,mrna_SCNN1A,mrna,0.000968
48,mrna_DBNDD2,mrna,0.000961
49,mrna_CCDC74B,mrna,0.000961
50,mrna_MIA,mrna,0.000933
