rank,feature_name,modality,mean_abs_shap
1,cnv_MYO5B,cnv,0.003036
2,cnv_TCEB3B,cnv,0.002903
3,cnv_SERPINB7,cnv,0.002837
4,cnv_MOCOS,cnv,0.002721
5,cnv_C18orf42,cnv,0.002482
6,cnv_TIMM21,cnv,0.002481
7,cnv_SALL3,cnv,0.002145
8,cnv_SLC39A6,cnv,0.001927
9,cnv_EPG5,cnv,0.001890
10,cnv_DCC,cnv,0.001768
11,cnv_WFDC13,cnv,0.001757
12,cnv_CFAP53,cnv,0.001685
13,cnv_SGK2,cnv,0.001680
14,cnv_DBNL,cnv,0.001671
15,cnv_MRO,cnv,0.001646
16,cnv_SMAD2,cnv,0.001623
17,cnv_TMX3,cnv,0.001575
18,cnv_EEPD1,cnv,0.001560
19,cnv_DSG4,cnv,0.001525
20,methy_PPP1R3G,methy,0.001494
21,cnv_SEC11C,cnv,0.001487
22,cnv_TAF4,cnv,0.001439
23,cnv_GALR1,cnv,0.001437
24,cnv_ZAR1L,cnv,0.001378
25,cnv_C1GALT1,cnv,0.001374
26,mrna_SETSIP,mrna,0.001325
27,cnv_INHBA,cnv,0.001293
28,cnv_KIAA1468,cnv,0.001289
29,cnv_DYNAP,cnv,0.001283
30,cnv_SPAG4,cnv,0.001267
31,cnv_NARS,cnv,0.001265
32,cnv_DYM,cnv,0.001261
33,cnv_MANBAL,cnv,0.001256
34,cnv_SERPINB5,cnv,0.001245
35,cnv_CABLES1,cnv,0.001231
36,cnv_DSC2,cnv,0.001231
37,cnv_RNF165,cnv,0.001228
38,mrna_RNF186,mrna,0.001221
39,mrna_MYLK.AS1,mrna,0.001205
40,cnv_GPNMB,cnv,0.001202
41,cnv_CCDC178,cnv,0.001175
42,mrna_A1CF,mrna,0.001161
43,cnv_LRRC30,cnv,0.001160
44,mrna_SLC35A4,mrna,0.001124
45,cnv_RAPGEF5,cnv,0.001111
46,cnv_STARD3NL,cnv,0.001108
47,cnv_PCK1,cnv,0.001073
48,methy_MYO1F,methy,0.001070
49,cnv_KDM6B,cnv,0.001061
50,cnv_MRPL32,cnv,0.001057
