rank,feature_name,modality,mean_abs_shap
1,mrna_MLPH,mrna,0.405890
2,mrna_ESR1,mrna,0.298670
3,mrna_MPHOSPH6,mrna,0.257907
4,mrna_TOP2A,mrna,0.168505
5,mrna_KCNMB1,mrna,0.167221
6,mrna_UBE2T,mrna,0.135668
7,mrna_SLC44A4,mrna,0.111418
8,mrna_PPP1R14C,mrna,0.110085
9,mrna_TFCP2L1,mrna,0.096018
10,mrna_SERPINB5,mrna,0.078658
11,mrna_DLGAP5,mrna,0.063597
12,mrna_PGAP3,mrna,0.060680
13,mrna_KRT14,mrna,0.050395
14,mirna_hsa.mir.130b,mirna,0.049004
15,mrna_NDC80,mrna,0.044129
16,mrna_MAPT,mrna,0.043788
17,mirna_hsa.mir.18a,mirna,0.043414
18,mrna_RARG,mrna,0.043132
19,mrna_SPNS2,mrna,0.041754
20,mrna_TPSAB1,mrna,0.041333
21,mrna_DEFB1,mrna,0.038771
22,mrna_SLC12A1,mrna,0.038099
23,methy_A3GALT2,methy,0.036639
24,mrna_NAT1,mrna,0.035669
25,mrna_CYTH2,mrna,0.034026
26,mirna_hsa.mir.218.2,mirna,0.033447
27,mrna_EGFR,mrna,0.033099
28,cnv_DLX2,cnv,0.033061
29,mrna_FANCB,mrna,0.031832
30,mrna_NGFR,mrna,0.028627
31,mrna_FUT8,mrna,0.027864
32,mrna_HJURP,mrna,0.027313
33,mirna_hsa.mir.34c,mirna,0.026915
34,mrna_IGF1R,mrna,0.026805
35,mrna_ABCC11,mrna,0.024896
36,mrna_EDNRB,mrna,0.024369
37,mrna_LZTS1,mrna,0.023199
38,mrna_DAP3,mrna,0.023028
39,mrna_LOC102723517,mrna,0.023005
40,mrna_MIR452,mrna,0.022474
41,mrna_SERPINF2,mrna,0.022352
42,methy_RNF207,methy,0.021883
43,mrna_KLF5,mrna,0.021220
44,mrna_RASL12,mrna,0.021056
45,mrna_KIF11,mrna,0.020995
46,mrna_KCNK12,mrna,0.020833
47,mrna_AHDC1,mrna,0.020272
48,mrna_FAM161B,mrna,0.020229
49,mrna_CHRNA5,mrna,0.020013
50,mrna_LOC644656,mrna,0.019479
