rank,feature_name,modality,mean_abs_shap
1,cnv_MYO5B,cnv,0.251937
2,mrna_TIMM21,mrna,0.232062
3,cnv_DCC,cnv,0.186250
4,mrna_SLC35A4,mrna,0.167442
5,methy_C4orf45,methy,0.143991
6,mrna_KCNRG,mrna,0.138216
7,methy_RIMKLB,methy,0.103249
8,mrna_A1CF,mrna,0.080667
9,cnv_EOMES,cnv,0.079051
10,methy_GAGE12J,methy,0.068663
11,methy_PABPC4,methy,0.063973
12,methy_ZNF91,methy,0.059703
13,mrna_PROCR,mrna,0.057452
14,mrna_SEC24D,mrna,0.057355
15,methy_KRT78,methy,0.056493
16,mrna_MSH4,mrna,0.049635
17,mrna_LOC102724927,mrna,0.048896
18,cnv_CDH2,cnv,0.040668
19,mrna_LTN1,mrna,0.038823
20,methy_TRABD,methy,0.037391
21,methy_DHRS7C,methy,0.036370
22,mrna_SNHG17,mrna,0.036214
23,methy_PPP1R1C,methy,0.035256
24,methy_MOGS,methy,0.034617
25,methy_PRB4,methy,0.032454
26,cnv_SLC39A6,cnv,0.032117
27,methy_GIMAP4,methy,0.030889
28,mrna_NPY4R,mrna,0.030785
29,cnv_TMX3,cnv,0.028710
30,mrna_SPNS1,mrna,0.028692
31,cnv_ADRBK2,cnv,0.028553
32,mrna_RAD50,mrna,0.028365
33,mrna_HDAC8,mrna,0.028170
34,methy_STK40,methy,0.027557
35,mrna_SDCBP2.AS1,mrna,0.026716
36,methy_HPCA,methy,0.026321
37,methy_SGCG,methy,0.026062
38,mrna_PHF23,mrna,0.025837
39,cnv_ELMO1,cnv,0.025309
40,mrna_MIR196A1,mrna,0.025189
41,mrna_DOK4,mrna,0.025129
42,mrna_SETSIP,mrna,0.020956
43,mrna_RENBP,mrna,0.020220
44,cnv_GPNMB,cnv,0.020162
45,methy_LRRC25,methy,0.018143
46,cnv_NEGR1,cnv,0.017893
47,mrna_CTTNBP2,mrna,0.017272
48,methy_ERI1,methy,0.016733
49,mrna_SHH,mrna,0.016703
50,mrna_TMEM81,mrna,0.015376
